t,Pe_FullDyn
2.00,37018.0353
2.10,68310.8016
2.20,94799.5563
2.30,117221.8032
2.40,136201.8254
2.50,152268.0673
2.60,165867.8474
2.70,177379.8128
2.80,187124.4811
2.90,195373.1647
3.00,202355.5247
3.10,208265.9648
3.20,213269.0443
3.30,217504.0597
3.40,221088.9228
3.50,224123.444
3.60,226692.1106
3.70,228866.44
3.80,230706.9701
3.90,232264.9452
4.00,233583.7427
4.10,234700.0806
4.20,235645.0403
4.30,236444.9314
4.40,237122.0245
4.50,237695.1715
4.60,238180.33
4.70,238591.0078
4.80,238938.639
4.90,239232.9025
5.00,239481.9912
5.10,239692.8402
5.20,239871.32
5.30,240022.3999
5.40,240150.2863
5.50,240258.5398
5.60,240350.1744
5.70,240427.7414
5.80,240493.4004
5.90,240548.9796
6.00,240596.0264
6.10,240635.8506
6.20,240669.5611
6.30,240698.0964
6.40,240722.2511
6.50,240742.6975
6.60,240760.005
6.70,240774.6556
6.80,240787.0569
6.90,240797.5545
7.00,240806.4405
7.10,240813.9623
7.20,240820.3294
7.30,240825.719
7.40,240830.2812
7.50,240834.1431
7.60,240837.412
7.70,240840.1792
7.80,240842.5215
7.90,240844.5042
8.00,240846.1826
8.10,240847.6033
8.20,240848.8058
8.30,240849.8238
8.40,240850.6855
8.50,240851.4149
8.60,240852.0323
8.70,240852.555
8.80,240852.9974
8.90,240853.3719
9.00,240853.6889
9.10,240853.9572
9.20,240854.1844
9.30,240854.3766
9.40,240854.5394
9.50,240854.6771
9.60,240854.7938
9.70,240854.8925
9.80,240854.976
9.90,240855.0468
10.00,240855.1066
10.10,37018.0353
10.20,37018.0353
10.30,37018.0353
10.40,37018.0353
10.50,37018.0353
10.60,37018.0353
10.70,37018.0353
10.80,37018.0353
10.90,37018.0353
11.00,37018.0353
11.10,37018.0353
11.20,37018.0353
11.30,37018.0353
11.40,37018.0353
11.50,37018.0353
11.60,37018.0353
11.70,37018.0353
11.80,37018.0353
11.90,37018.0353
12.00,37018.0353
12.10,37018.0353
12.20,37018.0353
12.30,37018.0353
12.40,37018.0353
12.50,37018.0353
12.60,37018.0353
12.70,37018.0353
12.80,37018.0353
12.90,37018.0353
13.00,37018.0353
13.10,37018.0353
13.20,37018.0353
13.30,37018.0353
13.40,37018.0353
13.50,37018.0353
13.60,37018.0353
13.70,37018.0353
13.80,37018.0353
13.90,37018.0353
14.00,37018.0353
14.10,37018.0353
14.20,37018.0353
14.30,37018.0353
14.40,37018.0353
14.50,37018.0353
14.60,37018.0353
14.70,37018.0353
14.80,37018.0353
14.90,37018.0353
15.00,37018.0353
15.10,37018.0353
15.20,37018.0353
15.30,37018.0353
15.40,37018.0353
15.50,37018.0353
15.60,37018.0353
15.70,37018.0353
15.80,37018.0353
15.90,37018.0353
16.00,37018.0353
16.10,37018.0353
16.20,37018.0353
16.30,37018.0353
16.40,37018.0353
16.50,37018.0353
16.60,37018.0353
16.70,37018.0353
16.80,37018.0353
16.90,37018.0353
17.00,37018.0353
17.10,37018.0353
17.20,37018.0353
17.30,37018.0353
17.40,37018.0353
17.50,37018.0353
17.60,37018.0353
17.70,37018.0353
17.80,37018.0353
17.90,37018.0353
18.00,37018.0353
18.10,37018.0353
18.20,37018.0353
18.30,37018.0353
18.40,37018.0353
18.50,37018.0353
18.60,37018.0353
18.70,37018.0353
18.80,37018.0353
18.90,37018.0353
19.00,37018.0353
19.10,37018.0353
19.20,37018.0353
19.30,37018.0353
19.40,37018.0353
19.50,37018.0353
19.60,37018.0353
19.70,37018.0353
19.80,37018.0353
19.90,37018.0353
20.00,37018.0353
20.10,37018.0353
20.20,37018.0353
20.30,37018.0353
20.40,37018.0353
20.50,37018.0353
20.60,37018.0353
20.70,37018.0353
20.80,37018.0353
20.90,37018.0353
21.00,37018.0353
21.10,37018.0353
21.20,37018.0353
21.30,37018.0353
21.40,37018.0353
21.50,37018.0353
21.60,37018.0353
21.70,37018.0353
21.80,37018.0353
21.90,37018.0353
22.00,37018.0353
22.10,37018.0353
22.20,37018.0353
22.30,37018.0353
22.40,37018.0353
22.50,37018.0353
22.60,37018.0353
22.70,37018.0353
22.80,37018.0353
22.90,37018.0353
23.00,37018.0353
23.10,37018.0353
23.20,37018.0353
23.30,37018.0353
23.40,37018.0353
23.50,37018.0353
23.60,37018.0353
23.70,37018.0353
23.80,37018.0353
23.90,37018.0353
24.00,37018.0353
24.10,37018.0353
24.20,37018.0353
24.30,37018.0353
24.40,37018.0353
24.50,37018.0353
24.60,37018.0353
24.70,37018.0353
24.80,37018.0353
24.90,37018.0353
25.00,37018.0353
