t,Pe_FullDyn
0.00,60213.86
0.20,105374.25
0.40,139244.55
0.60,164647.27
0.80,183699.31
1.00,197988.34
1.20,208705.12
1.40,216742.70
1.60,222770.88
1.80,227292.02
2.00,230682.87
2.20,233226.02
2.40,235133.37
2.60,236563.89
2.80,237636.77
3.00,238441.44
3.20,239044.94
3.40,239497.56
3.60,239837.03
3.80,240091.63
4.00,240282.58
4.20,240425.80
4.40,240533.21
4.60,240613.76
4.80,240674.18
5.00,240719.50
5.20,240753.48
5.40,240778.97
5.60,240798.09
5.80,240812.42
6.00,240823.18
6.20,240831.24
6.40,240837.29
6.60,240841.83
6.80,240845.23
7.00,240847.78
7.20,240849.70
7.40,240851.13
7.60,240852.21
7.80,240853.01
8.00,240853.62
8.20,240854.07
8.40,240854.41
8.60,240854.67
8.80,240854.86
9.00,240855.01
9.20,240855.11
9.40,240855.19
9.60,240855.25
9.80,240855.30
10.00,240855.33
